app,appLabel,sitelinks
http://www.wikidata.org/entity/Q836469,Friedrich Ebert-stiftelsen,22
http://www.wikidata.org/entity/Q164304,Deal or No Deal,22
http://www.wikidata.org/entity/Q1998811,North-West University,22
http://www.wikidata.org/entity/Q696289,The Simple Life,22
http://www.wikidata.org/entity/Q2720582,Real Academia de la Historia,22
http://www.wikidata.org/entity/Q1076074,Palgrave Macmillan,22
http://www.wikidata.org/entity/Q1197928,The View,22
http://www.wikidata.org/entity/Q865612,So You Think You Can Dance,22
http://www.wikidata.org/entity/Q1351415,Peace Now,22
http://www.wikidata.org/entity/Q1719898,Moskvas luftfartsinstitut,22
http://www.wikidata.org/entity/Q339228,Q339228,21
http://www.wikidata.org/entity/Q753684,Atari SA,21
http://www.wikidata.org/entity/Q4042609,Larian Studios,21
http://www.wikidata.org/entity/Q2068658,505 Games,21
http://www.wikidata.org/entity/Q921944,Focus Home Interactive,21
http://www.wikidata.org/entity/Q1372258,Tokuma Shoten,21
http://www.wikidata.org/entity/Q1384984,Team17,21
http://www.wikidata.org/entity/Q372245,Council on Vertical Urbanism,21
http://www.wikidata.org/entity/Q767319,Wiley-Blackwell,21
http://www.wikidata.org/entity/Q954828,CRC Press,21
http://www.wikidata.org/entity/Q257913,Kōhaku Uta Gassen,21
http://www.wikidata.org/entity/Q604109,Dansk Melodi Grand Prix,21
http://www.wikidata.org/entity/Q30133334,DAZN,21
http://www.wikidata.org/entity/Q1543201,"TSR, Inc.",21
http://www.wikidata.org/entity/Q1552981,Gubkin-universitetet för olja och gas,21
http://www.wikidata.org/entity/Q17487202,Non-Summit,21
http://www.wikidata.org/entity/Q921536,Viking Press,21
http://www.wikidata.org/entity/Q30965709,Vidbir,21
http://www.wikidata.org/entity/Q80146705,Rise of Empires: Ottoman,21
http://www.wikidata.org/entity/Q143085,Zecchino d'Oro,21
http://www.wikidata.org/entity/Q99955255,Maid,21
http://www.wikidata.org/entity/Q940089,X Factor USA,21
http://www.wikidata.org/entity/Q2156372,American Geographical Society,21
