game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q210275,Destiny,27
http://www.wikidata.org/entity/Q843456,Forza Motorsport 3,27
http://www.wikidata.org/entity/Q846549,Q846549,27
http://www.wikidata.org/entity/Q522508,Super Paper Mario,27
http://www.wikidata.org/entity/Q856950,Machinarium,27
http://www.wikidata.org/entity/Q296744,ARMA 2,27
http://www.wikidata.org/entity/Q866424,Q866424,27
http://www.wikidata.org/entity/Q257469,Another World,27
http://www.wikidata.org/entity/Q374556,The Orange Box,26
http://www.wikidata.org/entity/Q44462,Animal Crossing: New Leaf,26
http://www.wikidata.org/entity/Q129000,Banjo-Kazooie,26
http://www.wikidata.org/entity/Q55295,Star Wars: Jedi Knight: Jedi Academy,26
http://www.wikidata.org/entity/Q509269,Silkroad Online,26
http://www.wikidata.org/entity/Q180434,Heroes of Newerth,26
http://www.wikidata.org/entity/Q850445,Medal of Honor,26
http://www.wikidata.org/entity/Q528128,Killzone 3,26
http://www.wikidata.org/entity/Q528310,Shogun: Total War,26
http://www.wikidata.org/entity/Q862524,Harry Potter och Halvblodsprinsen,26
http://www.wikidata.org/entity/Q558621,New Super Mario Bros. 2,26
http://www.wikidata.org/entity/Q324871,Titan Quest,26
http://www.wikidata.org/entity/Q5766,VVVVVV,25
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II,25
http://www.wikidata.org/entity/Q204105,Dig Dug,25
http://www.wikidata.org/entity/Q841712,Conker's Bad Fur Day,25
http://www.wikidata.org/entity/Q841755,Monkey Island 2: LeChuck's Revenge,25
http://www.wikidata.org/entity/Q842431,Dead Space 2,25
http://www.wikidata.org/entity/Q845645,Day of the Tentacle,25
http://www.wikidata.org/entity/Q220107,Zoo Tycoon 2,25
http://www.wikidata.org/entity/Q843205,Kingdom Hearts: Chain of Memories,25
http://www.wikidata.org/entity/Q74401,Indiana Jones and the Fate of Atlantis,25
http://www.wikidata.org/entity/Q74669,Star Wars: Knights of the Old Republic II: The Sith Lords,25
http://www.wikidata.org/entity/Q1705294,Pokémon Snap,25
http://www.wikidata.org/entity/Q850092,Brothers in Arms: Hell's Highway,25
http://www.wikidata.org/entity/Q277377,Catherine,25
http://www.wikidata.org/entity/Q290534,Quake 4,25
http://www.wikidata.org/entity/Q863643,Total War: Rome II,25
http://www.wikidata.org/entity/Q37115,Sonic the Hedgehog,24
http://www.wikidata.org/entity/Q177491,Breakout,24
http://www.wikidata.org/entity/Q853541,Sonic 3D Blast,24
http://www.wikidata.org/entity/Q281110,Kingdom Hearts Birth by Sleep,24
http://www.wikidata.org/entity/Q240143,Maniac Mansion,24
http://www.wikidata.org/entity/Q633461,FIFA Soccer 96,24
http://www.wikidata.org/entity/Q864943,Colonization,24
http://www.wikidata.org/entity/Q868389,Final Fantasy XIV,24
http://www.wikidata.org/entity/Q257816,The Sims Medeltiden,24
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,23
http://www.wikidata.org/entity/Q55298,Star Wars Jedi Knight II: Jedi Outcast,23
http://www.wikidata.org/entity/Q162707,Sonic & Sega All-Stars Racing,23
http://www.wikidata.org/entity/Q838003,Command & Conquer: Renegade,23
http://www.wikidata.org/entity/Q217241,24: The Game,23
http://www.wikidata.org/entity/Q847471,Full Throttle,23
http://www.wikidata.org/entity/Q532912,Heroes of Might and Magic II: The Succession Wars,23
http://www.wikidata.org/entity/Q545072,Diddy Kong Racing,23
http://www.wikidata.org/entity/Q565315,Slender,23
http://www.wikidata.org/entity/Q304258,Empire Earth II,23
http://www.wikidata.org/entity/Q866349,Dungeon Siege,23
http://www.wikidata.org/entity/Q24300,Infamous 2,22
http://www.wikidata.org/entity/Q34920,Age of Empires Online,22
http://www.wikidata.org/entity/Q54859,Q54859,22
http://www.wikidata.org/entity/Q128291,Anno 2070,22
http://www.wikidata.org/entity/Q126474,Transformice,22
http://www.wikidata.org/entity/Q151614,Sonic Colours,22
http://www.wikidata.org/entity/Q63064,Nationstates,22
http://www.wikidata.org/entity/Q843124,Tom Clancy's H.A.W.X,22
http://www.wikidata.org/entity/Q220102,Zoo Tycoon,22
http://www.wikidata.org/entity/Q889739,The Legend of Zelda: Oracle of Seasons och Oracle of Ages,21
http://www.wikidata.org/entity/Q35407,Sonic the Hedgehog 2,21
http://www.wikidata.org/entity/Q201792,Torchlight,21
http://www.wikidata.org/entity/Q55605,Boulder Dash,21
http://www.wikidata.org/entity/Q853941,Q853941,21
http://www.wikidata.org/entity/Q540406,Lara Croft and the Guardian of Light,21
http://www.wikidata.org/entity/Q278771,Worms,21
http://www.wikidata.org/entity/Q282623,Legacy of Kain: Soul Reaver,21
http://www.wikidata.org/entity/Q26097,XCOM: Enemy Unknown,20
http://www.wikidata.org/entity/Q91220,Yie Ar Kung-Fu,20
http://www.wikidata.org/entity/Q55315,Star Wars: Empire at War,20
http://www.wikidata.org/entity/Q55535,1943: The Battle of Midway,20
http://www.wikidata.org/entity/Q509177,Mario Party DS,20
http://www.wikidata.org/entity/Q74545,Lego Batman: The Video Game,20
http://www.wikidata.org/entity/Q494713,GNU Chess,20
http://www.wikidata.org/entity/Q861222,Chris Sawyer's Locomotion,20
http://www.wikidata.org/entity/Q258530,Knights of Honor,20
http://www.wikidata.org/entity/Q7383408,Civilization V: Brave New World,19
http://www.wikidata.org/entity/Q112912,Lego Batman 2: DC Super Heroes,19
http://www.wikidata.org/entity/Q191965,Zero Wing,19
http://www.wikidata.org/entity/Q113100,Cloud,19
http://www.wikidata.org/entity/Q151531,Sonic Chaos,19
http://www.wikidata.org/entity/Q161188,007: Nightfire,19
http://www.wikidata.org/entity/Q161192,007 Legends,19
http://www.wikidata.org/entity/Q55673,R·Type,19
http://www.wikidata.org/entity/Q74630,Lego Indiana Jones: The Original Adventures,19
http://www.wikidata.org/entity/Q532178,Q532178,19
http://www.wikidata.org/entity/Q268616,Metin2,19
http://www.wikidata.org/entity/Q253111,Dissidia: Final Fantasy,19
http://www.wikidata.org/entity/Q867658,Cities in Motion,19
http://www.wikidata.org/entity/Q672172,Sonic Jam,18
http://www.wikidata.org/entity/Q40627,Sly Raccoon,18
http://www.wikidata.org/entity/Q55217,Star Wars Episode I: Racer,18
http://www.wikidata.org/entity/Q55287,Star Wars: Dark Forces,18
http://www.wikidata.org/entity/Q161202,James Bond 007: Everything or Nothing,18
http://www.wikidata.org/entity/Q507396,Crash Bandicoot: Mind over Mutant,18
http://www.wikidata.org/entity/Q526700,Jak II: Renegade,18
http://www.wikidata.org/entity/Q544071,Tibia,18
http://www.wikidata.org/entity/Q558753,Lost Odyssey,18
http://www.wikidata.org/entity/Q250019,Unreal II: The Awakening,18
http://www.wikidata.org/entity/Q252198,Deus Ex: Invisible War,18
http://www.wikidata.org/entity/Q310003,Killer7,18
http://www.wikidata.org/entity/Q605211,Starcraft: Ghost,17
http://www.wikidata.org/entity/Q91268,Archon: The Light and the Dark,17
http://www.wikidata.org/entity/Q102303,Akalabeth: World of Doom,17
http://www.wikidata.org/entity/Q198081,The King of Fighters '94,17
http://www.wikidata.org/entity/Q144559,Zak McKracken and the Alien Mindbenders,17
http://www.wikidata.org/entity/Q55815,Elite,17
http://www.wikidata.org/entity/Q845417,LSD Dream Emulator,17
http://www.wikidata.org/entity/Q511995,Pinball,17
http://www.wikidata.org/entity/Q284928,flOw,17
http://www.wikidata.org/entity/Q861322,Alundra,17
http://www.wikidata.org/entity/Q862542,Star Wars: Republic Commando,17
http://www.wikidata.org/entity/Q864026,World Cup 98,17
http://www.wikidata.org/entity/Q2418673,Civilization V: Gods & Kings,16
http://www.wikidata.org/entity/Q54297,Star Wars: Rogue Squadron,16
http://www.wikidata.org/entity/Q100096,Mega Man X2,16
http://www.wikidata.org/entity/Q54846,Star Wars: Episode III – Revenge of the Sith,16
http://www.wikidata.org/entity/Q134138,The Lion King,16
http://www.wikidata.org/entity/Q55616,Battlezone,16
http://www.wikidata.org/entity/Q517640,Phoenix,16
http://www.wikidata.org/entity/Q528376,Rhythm Paradise,16
http://www.wikidata.org/entity/Q241377,Archlord,16
http://www.wikidata.org/entity/Q285449,Ef: A Fairy Tale of the Two,16
http://www.wikidata.org/entity/Q250355,Icy Tower,16
http://www.wikidata.org/entity/Q27107,DC Universe Online,15
http://www.wikidata.org/entity/Q55272,Star Wars Galaxies,15
http://www.wikidata.org/entity/Q225861,Professor Layton and the Lost Future,15
http://www.wikidata.org/entity/Q1583764,Dear Esther,15
http://www.wikidata.org/entity/Q524661,Perfect Dark Zero,15
http://www.wikidata.org/entity/Q530973,South Park Rally,15
http://www.wikidata.org/entity/Q541988,Ultima IV: Quest of the Avatar,15
http://www.wikidata.org/entity/Q288958,Operation Wolf,15
http://www.wikidata.org/entity/Q306348,Q306348,15
http://www.wikidata.org/entity/Q1880634,Metal Gear Solid HD Collection,14
http://www.wikidata.org/entity/Q91247,Zaxxon,14
http://www.wikidata.org/entity/Q88947,Renegade,14
http://www.wikidata.org/entity/Q54317,Star Wars,14
http://www.wikidata.org/entity/Q55219,Star Wars: Bounty Hunter,14
http://www.wikidata.org/entity/Q195280,Toy Story 3,14
http://www.wikidata.org/entity/Q55291,Star Wars: Jedi Knight Dark Forces II,14
http://www.wikidata.org/entity/Q74683,Lego Indiana Jones 2: The Adventure Continues,14
http://www.wikidata.org/entity/Q535928,Battles of Prince of Persia,14
http://www.wikidata.org/entity/Q289882,Super Monkey Ball,14
http://www.wikidata.org/entity/Q864340,Wonder Boy in Monster Land,14
http://www.wikidata.org/entity/Q2422173,Sonic Mega Collection,13
http://www.wikidata.org/entity/Q54870,Star Wars Battlefront: Elite Squadron,13
http://www.wikidata.org/entity/Q134208,X-Men Legends II: Rise of Apocalypse,13
http://www.wikidata.org/entity/Q55607,Bonanza Bros.,13
http://www.wikidata.org/entity/Q507627,Stardoll,13
http://www.wikidata.org/entity/Q220174,Zool,13
http://www.wikidata.org/entity/Q2985699,Command & Conquer,13
http://www.wikidata.org/entity/Q281392,Killzone: Liberation,13
http://www.wikidata.org/entity/Q282008,Timesplitters 2,13
http://www.wikidata.org/entity/Q286205,Q286205,13
http://www.wikidata.org/entity/Q553054,Mr. Gimmick!,13
http://www.wikidata.org/entity/Q245749,The Darkness II,13
http://www.wikidata.org/entity/Q290136,Space Channel 5,13
http://www.wikidata.org/entity/Q12813511,Age of Empires II HD: The Forgotten,12
http://www.wikidata.org/entity/Q859958,Warcraft Adventures: Lord of the Clans,12
http://www.wikidata.org/entity/Q2473,Heroes of Might and Magic V: Tribes of the East,12
http://www.wikidata.org/entity/Q88855,California Games,12
http://www.wikidata.org/entity/Q90994,Chase HQ,12
http://www.wikidata.org/entity/Q93951,Little Inferno,12
http://www.wikidata.org/entity/Q54320,Star Wars,12
http://www.wikidata.org/entity/Q54322,Super Star Wars,12
http://www.wikidata.org/entity/Q54864,Star Wars Battlefront: Renegade Squadron,12
http://www.wikidata.org/entity/Q196255,Street Fighter II Turbo: Hyper Fighting,12
http://www.wikidata.org/entity/Q201390,SimTown,12
http://www.wikidata.org/entity/Q198096,The King of Fighters '98,12
http://www.wikidata.org/entity/Q55263,Star Wars: Shadows of the Empire,12
http://www.wikidata.org/entity/Q162562,Soul Blazer,12
http://www.wikidata.org/entity/Q840253,Shin Megami Tensei: Strange Journey,12
http://www.wikidata.org/entity/Q840560,Death Race,12
http://www.wikidata.org/entity/Q219804,Zombies Ate My Neighbors,12
http://www.wikidata.org/entity/Q254723,Cannon Fodder,12
